Node_1_Ortholog_group_ID,Node2_Ortholog_group_ID,Layer,S_typhi_strain_CT18_EIP,S_choleraesuis_SC_B67_EIP,S_dublin_CT_02021853_EIP,S_gallinarum_287/91_EIP,S_paratyphi_A_ATCC_9150_EIP,S_agona_SL483_GIP,S_enteritidis_P125109_GIP,S_heidelberg_SL476_GIP,S_newport_SL254_GIP,S_typhimurium_LT2_GIP,S_typhimurium_SL1344_GIP
419,3142,Metabolic,1,1,1,1,1,1,1,1,1,1,1
419,417,Metabolic,1,1,1,1,1,1,1,1,1,1,1
419,2528,Metabolic,1,1,1,1,1,1,1,1,1,1,1
427,3062,Metabolic,1,1,1,1,1,1,1,1,1,1,1
427,3261,Metabolic,1,1,1,1,1,1,1,1,1,1,1
429,383,Metabolic,1,1,1,1,1,1,1,1,1,1,1
429,2791,Metabolic,1,1,1,1,1,1,1,1,1,1,1
433,2502,Metabolic,1,1,1,1,1,1,1,1,1,1,1
433,1320,Metabolic,1,1,1,1,1,1,1,1,1,1,1
433,1790,Metabolic,1,1,1,1,1,1,1,1,1,1,1
434,2994,Metabolic,1,1,1,1,1,1,1,1,1,1,1
434,873,Metabolic,1,1,1,1,1,1,1,1,1,1,1
434,3087,Metabolic,1,1,1,1,1,1,1,1,1,1,1
438,2873,Metabolic,1,1,1,1,1,1,1,1,1,1,1
438,3028,Metabolic,1,1,1,1,1,1,1,1,1,1,1
438,3183,Metabolic,1,1,1,1,1,1,1,1,1,1,1
439,731,Metabolic,1,1,1,1,1,1,1,1,1,1,1
439,1041,Metabolic,1,1,1,1,1,1,1,1,1,1,1
439,3846,Metabolic,1,1,1,1,1,1,1,1,1,1,1
439,3490,Metabolic,1,1,1,1,1,1,1,1,1,1,1
439,2034,Metabolic,1,1,1,1,1,1,1,1,1,1,1
439,2936,Metabolic,1,1,1,1,1,1,1,1,1,1,1
439,1329,Metabolic,1,1,1,1,1,1,1,1,1,1,1
439,120,Metabolic,1,1,1,1,1,1,1,1,1,1,1
444,2624,Metabolic,1,1,1,1,1,1,1,1,1,1,1
444,1728,Metabolic,1,1,1,1,1,1,1,1,1,1,1
447,762,Metabolic,1,1,1,1,1,1,1,1,1,1,1
447,654,Metabolic,1,1,1,1,1,1,1,1,1,1,1
453,1722,Metabolic,1,1,1,1,1,1,1,1,1,1,1
453,1090,Metabolic,1,1,1,1,1,1,1,1,1,1,1
462,487,Metabolic,1,1,1,1,1,1,1,1,1,1,1
464,1336,Metabolic,1,1,1,1,1,1,1,1,1,1,1
464,318,Metabolic,1,1,1,1,1,1,1,1,1,1,1
473,3534,Metabolic,1,1,1,1,1,1,1,1,1,1,1
473,721,Metabolic,1,1,1,1,1,1,1,1,1,1,1
473,3199,Metabolic,1,1,1,1,1,1,1,1,1,1,1
477,700,Metabolic,1,1,1,1,1,1,1,1,1,1,1
479,914,Metabolic,1,1,1,1,1,1,1,1,1,1,1
479,891,Metabolic,1,1,1,1,1,1,1,1,1,1,1
479,3993,Metabolic,1,1,1,1,1,1,1,1,1,1,1
479,1677,Metabolic,1,1,1,1,1,1,1,1,1,1,1
486,1843,Metabolic,1,1,1,1,1,1,1,1,1,1,1
486,1431,Metabolic,1,1,1,1,1,1,1,1,1,1,1
494,72,Metabolic,1,1,1,1,1,1,1,1,1,1,1
494,910,Metabolic,1,1,1,1,1,1,1,1,1,1,1
494,654,Metabolic,1,1,1,1,1,1,1,1,1,1,1
501,3047,Metabolic,1,1,1,1,1,1,1,1,1,1,1
501,1341,Metabolic,1,1,1,1,1,1,1,1,1,1,1
501,1824,Metabolic,1,1,1,1,1,1,1,1,1,1,1
501,2027,Metabolic,1,1,1,1,1,1,1,1,1,1,1
510,3658,Metabolic,1,1,1,1,1,1,1,1,1,1,1
517,2703,Metabolic,1,1,1,1,1,1,1,1,1,1,1
517,3316,Metabolic,1,1,1,1,1,1,1,1,1,1,1
517,2570,Metabolic,1,1,1,1,1,1,1,1,1,1,1
517,3300,Metabolic,1,1,1,1,1,1,1,1,1,1,1
517,380,Metabolic,1,1,1,1,1,1,1,1,1,1,1
519,1314,Metabolic,1,1,1,1,1,1,1,1,1,1,1
524,570,Metabolic,1,1,1,1,1,1,1,1,1,1,1
526,262,Metabolic,1,1,1,1,1,1,1,1,1,1,1
548,4029,Metabolic,1,1,1,1,1,1,1,1,1,1,1
