Node_1_Ortholog_group_ID,Node2_Ortholog_group_ID,Layer,S_typhi_strain_CT18_EIP,S_choleraesuis_SC_B67_EIP,S_dublin_CT_02021853_EIP,S_gallinarum_287/91_EIP,S_paratyphi_A_ATCC_9150_EIP,S_agona_SL483_GIP,S_enteritidis_P125109_GIP,S_heidelberg_SL476_GIP,S_newport_SL254_GIP,S_typhimurium_LT2_GIP,S_typhimurium_SL1344_GIP
265,705,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3216,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2570,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,612,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,1313,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,65,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3872,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3138,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,1321,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,205,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2469,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,572,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,439,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,731,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,1041,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3846,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3490,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2034,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2936,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,1329,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,120,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3488,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,4100,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3620,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3619,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2743,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,436,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,631,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2321,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,989,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2290,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,3235,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,4086,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,210,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,291,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2646,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,2693,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,1770,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
265,1958,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
280,123,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,1158,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2598,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,1701,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2962,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2449,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,1165,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,4140,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,923,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,1259,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,3859,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,1367,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,1467,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,3503,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2907,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2143,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2182,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,183,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2268,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,881,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2798,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,459,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,2443,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,3460,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
290,3638,Transcriptional_regulatory,1,1,1,1,1,1,1,1,1,1,1
