source;target;ref;layer
B5EXH9;B5EXG4;STM_BioModels;Metabolic
B5EXH9;B5EXN2;STM;Metabolic
B5EXI0;B5EXI1;STM;Metabolic
B5EXI0;B5EXI2;STM;Metabolic
B5EXI0;B5EXI3;STM;Metabolic
B5EXI1;B5EXI2;STM;Metabolic
B5EXI1;B5EXI3;STM;Metabolic
B5EXI2;B5EXI3;STM;Metabolic
B5EXI5;B5F0H9;STM;Metabolic
B5EXI5;B5F1T2;STM;Metabolic
B5EXI5;B5F384;STM;Metabolic
B5EXJ7;B5F8B8;STM;Metabolic
B5EXK4;B5F1T2;STM;Metabolic
B5EXK4;B5F2F2;STM;Metabolic
B5EXK4;B5F2F3;STM;Metabolic
B5EXK4;B5F2F4;STM;Metabolic
B5EXK4;B5F2F5;STM;Metabolic
B5EXK4;B5F5N1;STM;Metabolic
B5EXK5;B5EYI7;STM;Metabolic
B5EXK5;B5EZS0;STM;Metabolic
B5EXK5;B5EZV9;STM;Metabolic
B5EXK5;B5F3S4;STM;Metabolic
B5EXK5;B5F7E5;STM;Metabolic
B5EXL2;B5EWT5;STM;Metabolic
B5EXL2;B5EX75;STM;Metabolic
B5EXL2;B5F1P6;STM;Metabolic
B5EXL2;B5F1P7;STM;Metabolic
B5EXL2;B5F1P8;STM;Metabolic
B5EXM5;B5EWW5;STM;Metabolic
B5EXM5;B5EY16;STM;Metabolic
B5EXM5;B5F527;STM_BioModels;Metabolic
B5EXM5;B5F731;STM;Metabolic
B5EXN0;B5EXR2;STM;Metabolic
B5EXN0;B5EZ52;STM;Metabolic
B5EXN0;B5F1A1;STM;Metabolic
B5EXN0;B5F3J0;STM;Metabolic
B5EXN0;B5F4P1;STM;Metabolic
B5EXN0;B5F907;STM;Metabolic
B5EXN2;B5EZW4;STM_BioModels;Metabolic
B5EXN3;B5EY50;BioModels;Metabolic
B5EXN3;B5F1Q3;BioModels;Metabolic
B5EXN3;B5F5H5;BioModels;Metabolic
B5EXN3;B5F7H7;BioModels;Metabolic
B5EXN4;B5F0E9;STM;Metabolic
B5EXN4;B5F5N9;STM;Metabolic
B5EXN4;B5F8S2;STM;Metabolic
B5EXP9;B5EZT4;STM;Metabolic
B5EXQ6;B5EZ51;STM;Metabolic
B5EXQ8;B5F063;STM;Metabolic
B5EXQ8;B5F472;STM_BioModels;Metabolic
B5EXQ8;B5F9A3;STM_BioModels;Metabolic
